rating,comment
10,8.0
10,不同于押井守执导的剧场版塞满了抽象、隐喻，弱化情节以强化哲思，TV版更加紧凑、悬疑，以事件驱动叙事，在主题方面侧重于社会结构、政治权力与技术伦理，而非像剧场版那样聚焦个体存在主义与意识本质。个人认为两部剧场版其实要比sac更优秀的，但是TV版融合了政治阴谋、社会议题与角色成长，更贴近大众娱乐需求。
10,“套着资本的皮，本质上还是理想的社会主义” 最后的日本独立，难说。 灵魂的ghost也能存在于网络之中吗？还是挺令人期待的。 核独立还是能理解，毕竟现实也一样。 0.01日圆级别的贪税，颇具现实意义。 日本难民问题，就是预言级。  再往下解析，就该进去了。
8,就算不习惯看这类型的也能给出较高的分数
10,叹为观止.
9,“让阳光透过我的手掌 我的热血鲜红地流淌”，核弹的尘埃落下，化作和平的雪，机械们的灵魂飘向深空，在世界的角落悄悄地洒下自己的星屑；虔诚的骑士挥舞着十字架，两个久别重逢的灵魂手握青苹果，在废墟深处相拥；“你能用义体折千纸鹤吗 ?”——“现在可以了”，但你却再也没有机会亲眼见证。//或许，到最后的最后，「Stand Alone Complex」既无关笑面男的幽灵，也无关个别十一人的陷阱，而是关于在这个冰冷、腐化的赛博地狱，每一个孤立的、匮乏的个体，在苟延残喘中，仍然得以将自己最后的温度，凝聚成这残缺世界的一寸光芒、一缕希望。以冷峻、深邃的政治寓言为外壳，这是一个有血性的故事，亦是关于「Ghost」的赞歌。
10,不如第一季，搞出一个久世英雄来搞个人英雄主义，素子的恋爱脑也使观感直线下滑，但瑕不掩瑜
8,补评分 4.5 依旧宏大的世界观。动画的画面比第一季进步很多。主题和第一季差别很大，涉及更多政治、外交的内容。剧情主线基本理解，但一些细节问题还是没看懂，尤其是结局部分，隐喻比较多。难民问题确实超前，但久世解放人类的方法不敢苟同，有种通过网络改变人类向下流的天性，以此创造美好乌托邦之感。反正主题方面我觉得还是第一季关于stay alone complex的哲学内容更有意思。
10,补标，什么时候有空的时候再看一遍
10,很难想象这是04年的作品，只能用神作来形容
10,神
10,剧情人物5/5 伟大无需多言 主旨3/3 （放在日本动漫里）确实思考了不少东西 音画表现 2/2
9,低配版和平保卫战，第二季则是沿用了第一季的结论，并用现实主义的角度描述了日本的政治争斗，最终得到国家须倾尽一切也要独立自主的结论，所谓“无穷无尽的忧国之路”。做动漫高手如果不看攻壳机动队，那无疑是失败的
