rating,comment
10,8.0
10,不同于押井守执导的剧场版塞满了抽象、隐喻，弱化情节以强化哲思，TV版更加紧凑、悬疑，以事件驱动叙事，在主题方面侧重于社会结构、政治权力与技术伦理，而非像剧场版那样聚焦个体存在主义与意识本质。个人认为两部剧场版其实要比sac更优秀的，但是TV版融合了政治阴谋、社会议题与角色成长，更贴近大众娱乐需求。
10,“套着资本的皮，本质上还是理想的社会主义” 最后的日本独立，难说。 灵魂的ghost也能存在于网络之中吗？还是挺令人期待的。 核独立还是能理解，毕竟现实也一样。 0.01日圆级别的贪税，颇具现实意义。 日本难民问题，就是预言级。  再往下解析，就该进去了。
10,叹为观止.
9,“让阳光透过我的手掌 我的热血鲜红地流淌”，核弹的尘埃落下，化作和平的雪，机械们的灵魂飘向深空，在世界的角落悄悄地洒下自己的星屑；虔诚的骑士挥舞着十字架，两个久别重逢的灵魂手握青苹果，在废墟深处相拥；“你能用义体折千纸鹤吗 ?”——“现在可以了”，但你却再也没有机会亲眼见证。//或许，到最后的最后，「Stand Alone Complex」既无关笑面男的幽灵，也无关个别十一人的陷阱，而是关于在这个冰冷、腐化的赛博地狱，每一个孤立的、匮乏的个体，在苟延残喘中，仍然得以将自己最后的温度，凝聚成这残缺世界的一寸光芒、一缕希望。以冷峻、深邃的政治寓言为外壳，这是一个有血性的故事，亦是关于「Ghost」的赞歌。
10,不如第一季，搞出一个久世英雄来搞个人英雄主义，素子的恋爱脑也使观感直线下滑，但瑕不掩瑜
10,补评分 4.5 依旧宏大的世界观。动画的画面比第一季进步很多。主题和第一季差别很大，涉及更多政治、外交的内容。剧情主线基本理解，但一些细节问题还是没看懂，尤其是结局部分，隐喻比较多。难民问题确实超前，但久世解放人类的方法不敢苟同，有种通过网络改变人类向下流的天性，以此创造美好乌托邦之感。反正主题方面我觉得还是第一季关于stay alone complex的哲学内容更有意思。
10,补标，什么时候有空的时候再看一遍
10,很难想象这是04年的作品，只能用神作来形容
9,神
10,剧情人物5/5 伟大无需多言 主旨3/3 （放在日本动漫里）确实思考了不少东西 音画表现 2/2
9,低配版和平保卫战，第二季则是沿用了第一季的结论，并用现实主义的角度描述了日本的政治争斗，最终得到国家须倾尽一切也要独立自主的结论，所谓“无穷无尽的忧国之路”。做动漫高手如果不看攻壳机动队，那无疑是失败的
9,Ghost与身心、网络与肉体、奴隶国家与消费国家、个人主义与社会集体，不论是哪一个主题的内容都非常令人深刻，好看。
8,神开启一个时代，后生不知道他的功绩。
7,创作思路还是停留在“讲一个有深度的故事”这个茧房里，所以gig和很多佳作的区别也仅仅是剧情更好而已，但它缺乏真正有感染力的剧情，塔奇克马、久世素子线、巴特，有关他们的所谓的感人的桥段都显得有点刻意，欠缺灵性的叙事和深度优先的信条是导致这一结果的根本原因，时好时坏的演出和作画只能说相比一期有进步，无法对作品本身的上限带来实质性的提升
10,政治斗争冷酷严肃，剧情处理密切缝合。不愧是日本科幻的台柱级别，在如今人工智能时代反而愈发显现思想锋芒，给我这个科幻迷看爽了
10,太严肃了所以评分的人数才这么少 全员聪明人的番真越来越难找了，后期的政治斗争第一次看的脑仁疼，结合现实重刷方觉惊为天人 但整体感觉配乐一般，一分扣配乐 可能是本人专业问题，感觉还是第一步更好
10,逆天
10,确实是无愧神作之名，虽然前期的单元回略有瑕疵，但是所谓的神作绝不是毫无缺点的。相对于1，2的故事性更强，后期多方势力盘根交错，局势诡谲莫测，但是对每方势力的描写都细致入微，最难得的还是给了一个值得回味的结尾。虽然一切好像又回到了起点，但同时也是新的开始。
10,神作！
10,绝对值得吹爆的10分！虽然单元剧节奏偶尔慢热，但主线的政治博弈堪称教科书级别——内阁、外资、难民组织多方势力暗流涌动，信息战和心理操控看得人头皮发麻。塔奇克马的意识觉醒简直惊艳，当AI战车唱着歌挡住核弹时，机械的浪漫主义直接封神。  最戳我的还是对现实的预言：难民问题、网络操控、集体无意识，如今看全是神准的赛博启示录。尤其是「个别十一人」事件，把乌合之众的心理拿捏得死死的。虽然配乐没有第一季那么抓耳，但菅野洋子的电子迷幻风配上九课雨中作战的场景，还是帅到起鸡皮疙瘩。  作为二十年前的作品，它讨论的AI伦理和意识本质，在ChatGPT时代反而更显深刻。可能新人会被复杂的政治线劝退，但熬过前10集后简直停不下来。这不是快餐动画，是需要配着弹幕解析食用的硬核科幻盛宴，至今仍是我心中赛博朋克的巅峰。
7,有些比较无聊有些有点意思
8,"神山健治的TV版主要是探究人类近未来社会的问题。社会问题也会由此引发出人性问题，社会问题：政府与企业的合谋（难民事件）；战争经济链（核威慑博弈）。人性的坚守：塔奇克马AI自发牺牲，证明机械也能产生""灵魂""（一种奇幻式的对人性坚守的刻画）；素子始终保持""选择权""（表现在：95电影版中选择与傀儡师融合，放弃人类身份；《无罪》中，即便已脱离人类形态，依旧选择帮助巴特对抗黑暗；笑脸男事件中保护笑脸男并替他保守秘密；个别的十一人中发现政府操纵并利用难民后选择和组织一起与政府对立；SSS中选择独自以＂傀儡师＂的身份帮助9课），即便肉身消失仍坚守正义，这也是她的特质之一：无论自身情况如何，都会坚守正义，对抗不公与腐败。一些成真的预言也很有意思：义体技术 → 脑机接口；电子脑污染 → 社交媒体算法茧房；笑脸男事件 → 维基解密/斯诺登事件。"
9,感谢神山为我们提供了新的思考维度，让处于和平中的我们能够借由他们的体验与经历 参与他们所描绘的世界/带入和思索我们以自己的经历 也许永远不会构想 却无比真实的宏大叙事与人文内容/甚至在不远的将来 这些内容可能回对我们产生启示。sac对我来说就是这样一部具有时代性的作品。
9,私货有点多，但无所谓
10,“そして登壇者が舞台挨拶を締めくくる挨拶をする中、田中は「ここにこうして立っていられるだけで心 から幸せです。『攻殻機動隊』 は『最後の人間』で一旦結末を迎えるのかもしれません。でもどうか忘れないでください。皆さんがネットにアクセスする時、『攻殻機動隊』にアクセスする時、私たちは、私はいつまでも皆さんのそばにいます。どうか忘れないでください!」と、シリ一ズ作品である『イノセンス』の草薙素子のセリフを引用し、熱い涙を流しながら、作品を支えるフアンたちに謝辞を述べ、フアンからの大きな拍手が会場に鳴り響いた。” 谢谢你带给我们的作品，一路走好！
9,具有一定前瞻性。应该会是一部常看常新的片。
10,比第一季更好看了
10,一部无论是从剧情还是人设上都不会让人觉得无聊的作品
10,好累呀看得//ghost会随着肉体改变而改变//模糊的界限，阴谋和阴谋论//创造仇恨连锁，让“消费”（迫害）在语境中合法...和现在网络社会上一些逐渐娱乐化的东西很像呢//高度信息化的时代，仇恨的挑动是否变得更简单——一种思想单极化//结局倒是没有吊书袋，重心变了，但平衡很好//不那么sac的，赤红色与黑灰色交织的攻壳机动队//延续了95对ghost的探讨
9,好看
9,优秀的赛博朋克动漫 但是不对我口味
10,这一季环环相扣的政治戏真心精彩，第二季的主线从格局和连贯度上也胜于第一季，结局前的56集更是高潮迭起，可惜结局虽然演出依旧给力还是感觉略有些机械降神，力度有所欠缺，不过整体来讲，瑕不能掩瑜的百分之一
10,不可多得的好作品。对赛博朋克背景下的社会与哲学思考颇为深入，值得细细品味。
9,补标……什么，我竟然没标这部？看得很早了，对「饱食的我」印象很深，也还记得塔奇克玛 T T
8,9.5/10日本TV动画的巅峰，丝毫不输押井守的两部剧场版，神山可谓弟子不必不如师啊（笑）//比起前一部，gig在科幻设定和现实反讽上尤为大胆，讲谈穿插的政治话题具有前瞻性，同时整体剧情节奏也更加紧凑。“难民危机”“国民冲突”是主线的两大核心要素，是基于不同想象而对现当代矛盾体的阐述，正因为矛盾本身存在于社会意识形态中，从而衍生出以久世和合田为代表的两个极端派别，因此我认为表层是在讲社会革命中的阶级斗争，实则还是离不开探讨ghost与个人肉体的阶级关系。///////二刷，op、ed、插曲都非常好听
10,故事的推进相当缓慢，但终盘的爆发却展现了对政治和历史魔法般的扭曲能力，灵魂与肉体的迷宫所带来极致的眩晕和怀旧。英雄就仿佛是一首诗，一个孤独到无所在场却依然返回家园的形象，思想与理想的碰撞，上层与低处的地形学隐喻，在这个无家可归的世界中找到自己的归宿，以此来填补肉身中那个空虚的无；但当回忆中一句漫不经心的言论、一种神秘象征的再度回归（千纸鹤、青苹果、以及‘I do’），它们揭示了某种令人惊愕的事实——我们存在，而不是不存在。在所有革命行动光焰夺目的生存战略的阴影中，在新世界亚当与夏娃“运命の果実を一绪に食べよう”的诗情画意背后，十字架似乎总是被那些无罪的ghost所承担——即使是作为机器生命体塔奇克马，也在歌声中勇敢地承担了它们的责任，它们甚至真正地经历过“两次死亡”，而本作的时间，也恰好位于“两种死亡”之间。
10,一部完美的动画
10,第二季补完，相比起第一季观感更沉闷压抑但完成度更高，在整体结构和宏观叙事上的把握相当优秀，讲述九课成员过去的支线回尤其喜欢，主线上随着情节的推进各方势力逐个介入，各方矛盾刻画的都相当生动，完成度太高了，尤其后面几集高潮爆发，其多线叙事的优秀真的想让现在业界看看..
10,感觉比第一部更难懂，或许需要多看几次、总之出走半生归来仍是神中神
