rating,comment
2,。。。？
7,在埼玉躺着真的很舒服呐 / 有生之年.jpg，田岛樱我来了，第四集的喷嚏太萌了（x
5,可爱才行
3,很久之前看的第一季的ed很好听，没想还到有第二季，纯粹廉价旅游宣传片啊
4,制作水平不忍直视，你还不如出个广播剧算了。
4,不明所以。。
5,不明所以
4,生硬。感觉眼熟，果然是同名游戏改。
4,云里雾里
3,难绷
4,前半还看过，后来因为双男主cp，白毛小男主那逆天的设定以及拉跨的剧情果断弃了
7,一般
5,适合磕cp 中间作画崩的有点狠 剧情不带脑子看还行（这番有推理！？
6,莫名其妙的剧情
4,喜欢所塑造的花崎的迷茫以及二十面相的偏执，感觉番全力在做人设的塑造，即使和其名号的江户川乱步没什么关系就是了
6,看的我头疼，人设还不错。
4,说是少年侦探团，可推理要素几乎没有
3,补标
7,真是够南通的，没眼看了
5,番剧评价：江户川老师如此优秀的原作不是拿来这么玩的。
4,你要想做这种玩意儿就别跟江户川乱步扯上关系。
3,事实证明即使没番看也别看这部番，看的我想退坑
4,居中的少年侦探团跟乱步先生所创作的少年侦探团完全不一样，怪人二十面相也不像二十面相，人物经常智商下线，毫无侦探的感觉。前几集还算有趣，越到后面越不知所云，结尾让人非常无语，一手好牌最后全打烂了。
2,很。。莫名其妙，从头到尾不知道要讲什么，最后是想表述两人的基情吗，这个能拍两季而且我当时还能闲得无聊追完了。。
1,各类顶着名侦探头衔招摇撞骗的粪作集大成者，不仅在推理上无比脑残，其音乐及作画表现也堪称动画之耻，这OP怎么能这么难听，甚至正片还频频出现了缺动作、中割原地蒸发的情况。还好江户川乱步先生已经去世了，不会知道自己的作品竟被改编成了如此劣质、低级的动画。说这么弱智的恶臭卖腐片竟然是他的原案，在我看来简直就是种人身攻击。
5,颜控好喜欢人物长相的，可惜了
4,有推理吗？人设有点新意，但是剧情一团糟。
6,什么鬼剧情啊，发展的完全不对啊
4,两集弃，大概我已经过了受众年龄层了。除了感觉不可理喻、无法理解、这装逼看得我好尴尬之外，还有就是跟江户川乱步有啥关系？别乱用啊混蛋！
2,乱七八糟的
5,每次想认真看时就发现看不下去。。。
3,没什么感觉。画质粗糙剧情脑残
4,感觉在讽刺我智商低（生气！
5,我感觉即使看完一季我也看不下剩下的了，除了小林很可爱，其余都是大写的shi
4,腐女太多 剧情越来越无聊 弃了
6,如果说前五集还能看，那第六集边缘第七集就彻底完蛋了，这什么见鬼发叙事节奏，简单粗暴的砸出来一片黑历史很好玩么
6,等OST
5,改編得太奇怪，一集棄
5,有想法 但还是能力不足 一集弃 看着尴尬
3,除了女刑警，怎么全是男人。。
4,中二爆表
5,无力吐槽。。比乱步奇谭烂多了。。。
4,补个标
3,哥们看完不知道反派的动机到底是啥
4,说实话，有点王道过头了，后面几集没啥意思。
5,比预期的要好，当初本来只想当3分的，毕竟4年前刚出的时候在我印象里就是一群痴迷于网游的人在互殴。鸽了4年后。。。好吧，绝大部分人都还是这种感觉，尤其是男主，完全一个网瘾少年之感。不过总体来说在后面大结局那一段叙述的很流畅嘛，战斗方面也不算特别无脑，对人物现实身份的补全介绍也算不错。画质方面嘛，比冰剑好就行了。当然也可能内心期待值过低，导致得后面部分展开还让我蛮惊喜的。主要问题还是在无死亡的网游接入设定上吧，果然很难让我代入。尤其是男主，过多配角都比他有人格魅力。虽然结尾似乎相对网游设定展开为异世界，不过太晚，太俗，太莫名其妙了。不过倒是引起我去读原作的兴趣了。
5,。。我这么爱看厕纸的人都看不下去。。。
5,7集弃
4,弃
2,厕纸爱好者都感到无聊的程度……
4,我想明白了，对于绝大多数厕改，我的评价基本取决于人设对不对口味
4,听说原作很不错，但是动画完全看不出来哪里好……
4,说实话很无聊，还有第一季看到那头盔立马想到sao，感觉是盘大杂烩……
4,看没看完已经是无关紧要 一个华丽空壳（仅限封面    里面塞满的基本全是垃圾  （2020 制作水平的提升并没有带动脑子的提升
5,有些老套了
2,2020.2.13
3,不是，那什么，这作者到底玩没玩过游戏。。。
4,味同嚼蜡，带动不起情绪
4,这设定和地球OL有啥多大区别
5,除了游戏策划比隔壁盾妹子正常一点，整体观感被吊打啊，画面不行也不够有趣
8,第七话终于破案了；公主角色只要交给白石晴香就绝对没问题了。第一集的启程转折也很完整，从年幼到风华正茂，从活泼到目光呆滞，再到回归自我。非常巧妙地演绎了一个被剥离个性的人偶终于有机会蜕变成天真烂漫的妙龄少女。 画面虽然有点穷，但看得出来&lt;导演&gt;一人身兼多职&lt;导演&gt;、&lt;分镜&gt;、&lt;演出&gt;、&lt;人物设定&gt;、&lt;道具设计&gt;、&lt;原画&gt;、&lt;OP・ED 分镜&gt;。又一个救火的大神
6,人设有点太难看了 剧情有点迷
5,克拉克不会后面倒追女主吧
9,有点意思
1,1：6分。人设丑，作画差。但是反转还挺有趣的，希望后面别落俗套。 2：4分。神人剧情。 3：5分。第八话表现不错，但是剧情还是神人。BGM上大分
4,不知所云
3,对这个时期的卫星社真的不要有什么指望。
5,这动画的巨乳都畸形了，还好有一部分卖肉是由非巨乳的妹妹完成的。妹妹第一集滑梯和第二集全裸够色。門脇舞以配的蓝毛萝莉没出来卖真可惜，三言两语就刻画了蓝毛对男主的喜欢，cv太强了。看上去男主又废柴又好色，女主棒读+复读机，还有这么倒贴很奇怪啊。解决分歧的方式也很都合。原来女主声优大城美和拥有与角色相同的88F罩杯，且是写真明星而非职业声优，用来作卖点的啊。
6,666
5,气球 / 女主棒读严重 ep2后半一直喊痛い那里给整笑了
5,"当初预初迅雷下载下来看的,太大雷了震撼了纯洁的我"
5,一般
5,正统恋爱剧终究还是比较沉闷，女性向尤为明显。剧情没有什么可以讲的，没什么槽点，也毫无记忆点。非要说就是男主的想法好消极好极端，有时搞不懂他的想法，好像不做人。很多人抨击的占有欲太强其实我觉得还好，毕竟读书时代那会儿的谈恋爱，谁不是这样呢？至少我认为还是属于比较写实的程度。女主人设我还蛮喜欢的，很耐看，可爱。剧情感觉有点啰嗦。BGM很棒，ED也挺好听的。色彩风格还不错，看着还比较舒服。最后一集讲“黑历史”那段我认为塑造的还是不错的。
8,4.6
2,恐怖男主，万泉布施人
5,嚼嚼嚼，没啥味道
3,咦，是费力的恋爱诶~
5,要是少写点描述会很不错吧
3,乙女向动画通病，男主角色发掘深度不够，导致故事后期展开乏力，毕竟男主要是老摆个臭脸女主的真善美就没办法被衬托出来了嘛。
6,不得不说还是铁打的香菜啊，当然这种双向恋爱番真的也是提不起兴趣了吧。
5,说实话前期挺不错的，有过去烦恼的重男配合不懂恋爱的女主，但是后期突然变成普通男女生了，不是很懂，你卖点既然是人设那么就贯穿到底，想看甜的恋爱谁看这个
