rating,comment
5,感觉比TV平均下来有趣，而且制作好不少，话说sp都是划分到不同演绎的吗？找半天还以为bgm没收录。。。
7,阿兹电波大王
5,还是tv的更有漫画味道啊。不过这个短篇动作很流畅啊
6,很潮、很酷
8,很短的一个故事，算SP........
6,意外的还不错，三个笨蛋把分数加起来和100分比很有趣。人没认全…这老师怎么对考不好的和蔼对高分的很凶。这种q版的画风很适合搞笑啊，篇幅很短，作画流畅
6,画风没有tv版可爱
6,有意思。人设明显更“古老”一些，上影的方式、下颌线以及眼睛的轮廓都没有脱离上世纪的流行特征。也没有迫于成本故意省略路人和背景，这反倒更缺乏了空气感 其中大阪的梦要比TV版本不现实得多，也诡异得多。遗憾忘记了原作的内容究竟是什么样的了
7,我觉得还挺不错的欸
5,春日梦
5,画风和正式版不同，正式版画风更贴
4,好丑……
5,oosaka不可爱了
5,2018-06-12。蜜汁高张数。人设不习惯，人物比例似乎有点怪。ED萌。
8,8.8
5,TV先行版，玩的小千代的马尾梗
5,233
6,比本篇好看。
5,求求你啦，做成里番吧
6,从泳衣战斗升级到了全裸战斗。
6,补标
5,短短30分钟，把20个妹子的个性都体现出来了，观感很舒服
5,補標
7,正片要也这样多好。另外雪泉老婆真棒
7,脱光了就能提高战斗力这设定请加到正片里谢谢。突然发现挺喜欢夜桜这种妹子的，大概是带点妹属性的？
7,初监督作品
6,温泉屋小女管家
6,见证萝莉成长以及和同龄人和幽灵间互动的治愈系动画
4,不如剧场版
6,真小学生配音观感还是不如老阿姨装嫩/萌要素很低，加上男一这人设 子供向的味太重了，很有那种面相小孩子搞刻板审美的感觉/这番剧情的结构和选题一股怪异的“高级感”，不像是面相阿宅而是更大众更全年龄的感觉，基本是美好能量的热血番模式，而且女主三番五次擅自为他人着想 毫无悔改之意相当扣分
6,果然这个题材很适合短单元剧！画面比不上剧场版，不过有些内容是剧场版没有的。ed1超好听～
7,20210204:挺普通的轻松带点积极向上的动画，就是第一集死爹妈，最后一集遇神和主体氛围有点不大搭。剧情大概就是遇到问题-&gt;卖个惨-&gt;努力-&gt;客人欢天喜地泡温泉。
7,补完了，真的很喜欢这部，之后把小说也买来。
8,非常不错
